FACTOR = 0.95 MONTH_TO_PROMOTE = 6 RATE_AFTER_PROMOTION = 0.01 RATE_OF_NEW = 0.01
115 87
181 144 0.332155
233 191 0.393805
272 229 0.452514
293 247 0.453901
296 230 0.398374
272 219 0.3
261 216 0.278146
285 223 0.448052
275 234 0.353741
289 230 0.404412
274 222 0.314286
274 221 0.351351
270 211 0.328859
267 217 0.352201
271 223 0.352941
282 220 0.401361
273 217 0.353333
258 215 0.267974
280 229 0.419355
289 239 0.425532
276 227 0.282443
278 220 0.356643
269 216 0.326667
272 217 0.363636
272 221 0.359477
279 221 0.389262
272 218 0.342282
265 216 0.309211
274 218 0.376623
276 234 0.381579
283 225 0.360294
275 222 0.344828
270 211 0.324324
265 220 0.339623
278 225 0.386667
282 217 0.393103
262 215 0.294118
277 218 0.4
260 212 0.276316
279 226 0.424051
277 222 0.354167
279 219 0.385135
272 219 0.350993
272 213 0.350993
266 213 0.33758
267 216 0.343949
278 225 0.402597
278 217 0.365517
268 220 0.333333
278 223 0.386667
275 217 0.353741
266 219 0.320261
267 217 0.317881
275 218 0.379085
266 216 0.315789
271 214 0.357143
270 220 0.358974
278 217 0.386667
264 226 0.30719
281 223 0.381944
277 221 0.367347
273 219 0.348993
272 222 0.350993
280 231 0.391892
285 228 0.388489
269 220 0.288732
271 224 0.34
282 222 0.39726
269 213 0.317568
273 224 0.382166
272 215 0.328767
276 215 0.393548
262 205 0.303226
262 213 0.345455
276 219 0.401274
276 217 0.377483
269 214 0.339869
273 217 0.378205
269 217 0.339869
276 232 0.385621
279 228 0.34058
281 224 0.373239
273 219 0.335616
275 218 0.370861
268 219 0.328947
269 211 0.331126
269 215 0.36478
270 215 0.354839
277 222 0.4
271 214 0.331081
274 221 0.384615
277 232 0.375839
273 224 0.297101
273 212 0.335616
265 203 0.335443
256 209 0.317365
273 219 0.397516
281 227 0.410596
288 225 0.426573
